Id,Nome,Data de Aproximação,Diâmetro Mínimo (km),Diâmetro Máximo (km),Velocidade (m/s),Distância da Terra (km),Categoria Diâmetro,Categoria Proximidade,Potencialmente Perigoso,Tipo de Órbita
54105488,(2021 AF5),2021-05-24,0.0288771931,0.0645713667,2854.9291261241387,16853339.04880282,Pequeno,Distante,False,ATE
54106309,(2021 AX7),2021-05-24,0.1677084622,0.3750075218,12779.280503452612,42519020.15357573,Médio,Distante,False,AMO
54135143,(2021 FN4),2021-05-24,0.0643509521,0.1438931032,8273.797724008444,2321949.604885315,Médio,Próximo,False,APO
54145573,(2021 JJ7),2021-05-24,0.035200998,0.0787118244,11411.366313209388,2216189.67031331,Pequeno,Próximo,False,APO
54146670,(2021 KL),2021-05-24,0.0089650967,0.0200465656,11558.924217395,1108586.0397628,Pequeno,Próximo,False,APO
54153123,(2021 LH),2021-05-24,0.0303777061,0.0679266159,4033.7196012596387,28047183.01870229,Pequeno,Distante,False,AMO
54160408,(2021 LG7),2021-05-24,0.0404161533,0.0903732663,8126.967359702833,27866205.798686832,Pequeno,Distante,False,APO
54226108,(2021 XK),2021-05-24,0.0413575665,0.0924783301,18809.047616180997,54383840.93879282,Pequeno,Distante,False,APO
2613862,613862 (2007 UY1),2021-05-24,0.063760979,0.1425738833,7044.568774591528,34209707.93666095,Médio,Distante,False,ATE
54326658,(2022 VQ1),2021-05-24,0.0174805453,0.0390876876,6717.767379350249,28434686.919915624,Pequeno,Distante,False,APO
2620108,620108 (2021 AX7),2021-05-24,0.1684825693,0.3767384779,12779.280418239388,42519020.16853552,Médio,Distante,False,AMO
54354974,(2023 HX2),2021-05-24,0.0239086457,0.0534613571,18650.50046283489,66096106.69307446,Pequeno,Distante,False,APO
54356391,(2023 HO4),2021-05-24,0.061738344,0.1380511341,14255.6926466885,48340936.73661399,Médio,Distante,False,APO
54358378,(2023 JF2),2021-05-24,0.0318093633,0.0711278987,9928.789981744749,69853055.60003485,Pequeno,Distante,False,AMO
2517681,517681 (2015 DE198),2021-05-25,0.4493191996,1.004708274,12526.001367644998,28047685.787223786,Grande,Distante,True,APO
3124996,(2002 JX8),2021-05-25,0.2180494405,0.4875733714,13467.542954006889,37390977.31224474,Médio,Distante,True,ATE
3157782,(2003 QA),2021-05-25,0.5327886649,1.1913516723,18637.943691274697,48592887.80873163,Grande,Distante,False,APO
3544980,(2010 PS66),2021-05-25,0.0248058993,0.0554676771,16553.004057985305,64473977.04603317,Pequeno,Distante,False,AMO
3653647,(2013 VO11),2021-05-25,0.0058150704,0.0130028927,10179.602499529305,1323123.417623006,Pequeno,Próximo,False,APO
3791298,(2017 XT2),2021-05-25,0.0231502122,0.0517654482,8348.923091281165,61348228.18225886,Pequeno,Distante,False,AMO
3824060,(2018 JH1),2021-05-25,0.0231502122,0.0517654482,10731.124668229806,31462921.234918717,Pequeno,Distante,False,ATE
3843428,(2019 OW3),2021-05-25,0.1019893859,0.2280551997,12527.420858773805,49904976.498508975,Médio,Distante,False,APO
54016324,(2020 FN3),2021-05-25,0.0353634784,0.0790751417,5584.469869429833,26005691.9906799,Pequeno,Distante,False,APO
54131385,(2021 DQ2),2021-05-25,0.1401376972,0.3133574171,7875.981206016251,27190467.23828776,Médio,Distante,False,AMO
54142827,(2021 HD3),2021-05-25,0.0339277435,0.0758647409,7938.663992440056,4654940.295525767,Pequeno,Próximo,False,APO
54153129,(2021 LN),2021-05-25,0.0453476699,0.1014004725,11045.780232510613,2219762.994955704,Médio,Próximo,False,APO
54158074,(2021 LH4),2021-05-25,0.0318093633,0.0711278987,8568.303021472193,11983887.121210273,Pequeno,Distante,False,APO
2612356,612356 (2002 JX8),2021-05-25,0.228325794,0.5105519964,13467.506026485196,37390829.73394599,Grande,Distante,True,ATE
2612563,612563 (2003 QA),2021-05-25,0.5327886649,1.1913516723,18637.942376287996,48592883.70975,Grande,Distante,False,APO
54297314,(2021 KA17),2021-05-25,0.1082816778,0.2421251924,10617.209439019887,5632069.690350709,Médio,Distante,True,ATE
54278350,(2022 JQ1),2021-05-25,0.0152249185,0.0340439527,4589.514232725972,8984885.067753252,Pequeno,Distante,False,APO
54340098,(2023 BT3),2021-05-25,0.0031228777,0.0069829668,16034.377282508694,37644324.56632331,Pequeno,Distante,False,APO
3363723,(2006 XW4),2021-05-26,0.0366906138,0.0820427065,15533.876124970195,57338852.64651188,Pequeno,Distante,False,APO
3605565,(2012 LD1),2021-05-26,0.1160259082,0.2594418179,16219.246061841806,68941553.30975999,Médio,Distante,False,AMO
3682467,(2014 QJ33),2021-05-26,0.0483676488,0.1081533507,8984.996921051556,69387973.19051756,Médio,Distante,False,APO
3733138,(2015 VK1),2021-05-26,0.0127219879,0.0284472297,16732.637680776195,63851236.657677084,Pequeno,Distante,False,ATE
3879229,(2019 UG),2021-05-26,0.0063760979,0.0142573883,15843.13465972389,19507133.425705645,Pequeno,Distante,False,APO
54048900,(2020 OO1),2021-05-26,0.0146067964,0.0326617897,6535.29159774286,41431951.98719778,Pequeno,Distante,False,APO
54143421,(2021 JG1),2021-05-26,0.0296862251,0.0663804174,9153.1874314095,844088.313966553,Pequeno,Muito Próximo,False,APO
54144934,(2021 JE5),2021-05-26,0.100590039,0.2249261651,16835.797771392194,45435693.29316588,Médio,Distante,False,APO
54145575,(2021 JN7),2021-05-26,0.0252670754,0.0564988982,7405.5691501465,7238223.361980663,Pequeno,Distante,False,AMO
54146072,(2021 KD),2021-05-26,0.1226182113,0.2741826558,14272.216750203304,12740869.936119786,Médio,Distante,True,APO
54147133,(2021 KJ1),2021-05-26,0.0421264611,0.0941976306,10182.125859535388,22345486.64994811,Pequeno,Distante,False,ATE
54147411,(2021 KX1),2021-05-26,0.0273246732,0.0610998267,6148.6024060576665,13244769.417512985,Pequeno,Distante,False,AMO
54157357,(2021 LZ2),2021-05-26,0.0278326768,0.0622357573,6073.02601423725,19529030.3501735,Pequeno,Distante,False,AMO
54230077,(2021 XC6),2021-05-26,0.0058150704,0.0130028927,14320.1572001145,58607248.406076625,Pequeno,Distante,False,ATE
54290863,(2022 OT),2021-05-26,0.0069912523,0.0156329154,6815.526674276111,32457135.678883813,Pequeno,Distante,False,APO
54330041,(2022 WT7),2021-05-26,0.0586887658,0.1312320699,10941.985639729306,28080405.145199984,Médio,Distante,False,APO
54340101,(2023 BA4),2021-05-26,0.0294140602,0.0657718381,12292.222728439387,66723837.18766056,Pequeno,Distante,False,ATE
2140158,140158 (2001 SX169),2021-05-27,0.5352479056,1.1968507018,10265.37028487061,15440385.147081574,Grande,Distante,True,APO
3170208,(2003 YG136),2021-05-27,0.0237987955,0.0532157244,12865.353589520306,54116666.937021844,Pequeno,Distante,False,ATE
3843136,(2019 NG2),2021-05-27,0.0404161533,0.0903732663,12003.411778458889,29129780.048821043,Pequeno,Distante,False,ATE
54016780,(2020 HK7),2021-05-27,0.1139081967,0.2547064711,14958.954462756194,71677110.79146577,Médio,Distante,False,ATE
54017198,(2020 KS3),2021-05-27,0.0530340723,0.1185877909,18991.25849854689,50417915.954789475,Médio,Distante,False,ATE
54100698,(2020 YZ),2021-05-27,0.135692229,0.303417048,21195.101316500804,47386914.572864346,Médio,Distante,False,APO
54143423,(2021 JF1),2021-05-27,0.0934447651,0.2089488469,17283.59981568789,5262033.255312613,Médio,Distante,False,APO
54144235,(2021 JX2),2021-05-27,0.0109788026,0.0245493489,3003.9172566229167,2179139.36424189,Pequeno,Próximo,False,APO
54144923,(2021 JL4),2021-05-27,0.0584191154,0.1306291133,8451.6101856805,15881486.389726814,Médio,Distante,False,APO
54146674,(2021 KP),2021-05-27,0.0159424468,0.0356483948,11114.096782301887,611028.401033362,Pequeno,Muito Próximo,False,APO
54146675,(2021 KR),2021-05-27,0.0081762653,0.0182826851,8745.828647625445,4529917.271544916,Pequeno,Próximo,False,APO
54150703,(2021 KS2),2021-05-27,0.0427124985,0.0955080501,15562.483722589306,18434896.1528029,Pequeno,Distante,False,APO
54153135,(2021 LV),2021-05-27,0.0069271561,0.015489592,14887.690305488804,280638.154146074,Pequeno,Muito Próximo,False,APO
54161317,(2021 LL15),2021-05-27,0.013506878,0.0302022973,10366.255161288887,1553221.397448706,Pequeno,Próximo,False,ATE
54265891,(2022 FC3),2021-05-27,0.0211132445,0.0472106499,6145.408168669333,37447607.01746134,Pequeno,Distante,False,APO
54327904,(2022 WR2),2021-05-27,0.0125474356,0.028056919,8100.768454799805,11068409.073062938,Pequeno,Distante,False,ATE
54370594,(2023 LK),2021-05-27,0.0241298697,0.0539560289,12739.2507936945,14197395.593778934,Pequeno,Distante,False,APO
54377842,(2023 QP2),2021-05-27,0.0327005439,0.0731206391,16059.950750458695,58027037.18122305,Pequeno,Distante,False,AMO
54412459,(2023 XG),2021-05-27,0.0163137941,0.0364787526,13558.89735635211,56627645.35864261,Pequeno,Distante,False,APO
54427163,(2024 CC7),2021-05-27,0.0142087207,0.0317716653,6585.935631352471,34080583.47763704,Pequeno,Distante,False,ATE
